"msgid","msgstr"
"""System will validate if a document of this type is created and linked before completing the Nursing Task - for example, Vital Signs if the task is supposed to capture the vitals of the Patient""",سيتحقق النظام من إنشاء مستند من هذا النوع وربطه قبل إكمال مهمة التمريض - على سبيل المثال، العلامات الحيوية إذا كانت المهمة تهدف إلى تسجيل العلامات الحيوية للمريض
Role,الدور
Post-Op,بعد العملية
Pre-Op,قبل العملية
Nursing Checklist Template Task,مهمة قالب قائمة تحقق التمريض
Completed Orders,الأوامر المكتملة
Total Orders,إجمالي الأوامر
Other Details,تفاصيل أخرى
Inpatient Medication Order,أمر دواء لمنوّم
Contact & Address,الاتصال والعنوان
Service Unit Capacity,سعة وحدة الخدمة
Tree Details,تفاصيل الشجرة
Old Parent,الأصل السابق
rgt,rgt
lft,lft
Warehouse,المخزن
Occupied,مشغول
Vacant,شاغر
Occupancy Status,حالة الإشغال
Is Group,مجموعة
Parent Service Unit,وحدة الخدمة الأم
Sample HTML,عينة HTML
Collection Point,نقطة الجمع
Observation Sample Collection,جمع عينات الملاحظة
Samples,عينات
Collected,تم الجمع
Partly Collected,تم الجمع جزئياً
Number of prints required for labelling the samples,عدد الطبعات المطلوبة لوسم العينات
No. of prints,عدد الطبعات
Collected On,تم الجمع في
Collected By,تم الجمع بواسطة
DocName,اسم المستند
DocType,نوع المستند
Inpatient Visit Charge,رسوم زيارة منوّم
Inpatient Visit Charge Item,صنف رسوم زيارة منوّم
Out Patient Consulting Charge,رسوم استشارة العيادات الخارجية
Out Patient Consulting Charge Item,صنف رسوم استشارة العيادات الخارجية
Appointment Type Service Item,صنف خدمة نوع الموعد
Condition,شرط
Formula,معادلة
Based on Condition and Formula,بناءً على الشرط والمعادلة
Observation Component,مكوّن الملاحظة
Contract Details,تفاصيل العقد
Insurance Payor Contract,عقد جهة الدفع التأمينية
Lab Test UOM,وحدة قياس الاختبار المخبري
Patient Consent To Use Aadhaar For ABHA Creation,موافقة المريض على استخدام آدهار لإنشاء ABHA
Aadhaar Consent Template,قالب موافقة آدهار
Patient Consent Template,قالب موافقة المريض
Consent Management,إدارة الموافقات
Health ID Service,خدمة معرّف الصحة
Authorization,التفويض
Gateway Name,اسم البوابة
Base URL,الرابط الأساسي
Client Secret,سر العميل
Client ID,معرّف العميل
Default,افتراضي
ABDM Settings,إعدادات ABDM
Patient History Custom Document Type,نوع مستند مخصص لتاريخ المريض
Body Part,جزء الجسم
Body Part Link,رابط جزء الجسم
Reference Owner,مالك المرجع
Reference DocType,نوع المستند المرجعي
Datetime,تاريخ ووقت
Close,إغلاق
Subject,الموضوع
Attach Medical Record,إرفاق سجل طبي
Patient Medical Record,السجل الطبي للمريض
To Time,إلى وقت
From Time,من وقت
Update Stock,تحديث المخزون
Stock Details,تفاصيل المخزون
Assigned To,مُسند إلى
Get Pending Medication Orders,جلب أوامر الأدوية المعلّقة
Inpatient Medication Orders,أوامر أدوية للمنوّمين
Medication Orders,أوامر الأدوية
To Date,إلى تاريخ
From Date,من تاريخ
Warehouse from where medication stock should be consumed,المخزن الذي يجب خصم مخزون الأدوية منه
Medication Warehouse,مخزن الأدوية
Item Code (Drug),رمز الصنف (دواء)
Filters,عوامل التصفية
In Process,قيد المعالجة
Submitted,مُقدَّم
Inpatient Medication Entry,مدخلات دواء المنوّم
Partially Approved,معتمد جزئياً
Pending Review,مراجعة معلّقة
Reference Posting Date,تاريخ القيد المرجعي
Ref DocName,اسم المستند المرجعي
Ref DocType,نوع المستند المرجعي
Diagnostic Report,تقرير تشخيصي
Treatment Plan Template Practitioner,ممارس قالب خطة العلاج
Test Created,تم إنشاء الاختبار
Lab Test Name,اسم الاختبار المخبري
Lab Test,اختبار مخبري
Lab Prescription,وصفة المختبر
Medical Records,السجلات الطبية
"""Notes, Tasks & Vitals""",ملاحظات، مهام وعلامات حيوية
Inpatient,منوّم
Order History,سجل الأوامر
Clinical Notes,ملاحظات سريرية
Submit Orders on Save,إرسال الأوامر عند الحفظ
Ordered,مُصدر
Open,مفتوح
Encounter Details,تفاصيل الزيارة
Google Meet Link,رابط Google Meet
Get Applicable Treatment Plans,جلب خطط العلاج المناسبة
Therapies,العلاجات
Review Details,تفاصيل المراجعة
Clinical Procedures,إجراءات سريرية
Lab Tests,اختبارات مخبرية
In print,في الطباعة
Symptoms,الأعراض
Encounter Time,وقت الزيارة
Encounter Date,تاريخ الزيارة
Display,عرض
Sunday,الأحد
Saturday,السبت
Friday,الجمعة
Thursday,الخميس
Wednesday,الأربعاء
Tuesday,الثلاثاء
Monday,الاثنين
Monthly,شهري
Weekly,أسبوعي
Daily,يومي
Never,أبداً
Repeat,تكرار
Emergency,طوارئ
Travel,سفر
Training,تدريب
Break,استراحة
Time Off,إجازة
Reason,السبب
In minutes,بالدقائق
End Time,وقت الانتهاء
End Date,تاريخ الانتهاء
Start Time,وقت البدء
Unavailable,غير متاح
Available,متاح
Scope,النطاق
Scope Type,نوع النطاق
Practitioner Availability,توفر الممارس
Estimated Duration,المدة المقدرة
Category,الفئة
Service Request Category,فئة طلب الخدمة
Paid Amount,المبلغ المدفوع
Total Amount,إجمالي المبلغ
Inpatient Billables,بنود قابلة للفوترة للمنوّمين
Prescriptions,الوصفات
Billables,بنود قابلة للفوترة
Admission Nursing Checklist Template,قالب قائمة تحقق التمريض عند الدخول
Discharge Nursing Checklist Template,قالب قائمة تحقق التمريض عند الخروج
Claim Status,حالة المطالبة
Discharge Date,تاريخ الخروج
Therapy Plan,خطة العلاج
Rehabilitation,إعادة التأهيل
Discharge Ordered Date,تاريخ أمر الخروج
Discharge Instructions,تعليمات الخروج
Follow Up Date,تاريخ المتابعة
Discharge Notes,ملاحظات الخروج
Discharge,خروج
Transfer,نقل
Admission Service Unit Type,نوع وحدة خدمة الدخول
Procedures,الإجراءات
Investigations,التحاليل
Medications,الأدوية
Admission Instructions,تعليمات الدخول
Expected Discharge,الخروج المتوقع
Expected Length of Stay,مدة الإقامة المتوقعة
Admission Ordered For,الدخول مطلوب لـ
Discharged,تم الخروج
Organism,الكائن الحي
Minimum Billable Quantity,الحد الأدنى للكمية القابلة للفوترة
Is OT,هل هو OT
Change in Item,تغيير في الصنف
Rate / UOM,السعر / وحدة القياس
UOM Conversion in Hours,تحويل وحدة القياس بالساعات
Allow Overlap,السماح بالتداخل
Allow Appointments,السماح بالمواعيد
Service Unit Type,نوع وحدة الخدمة
System URI,URI للنظام
Value Set,مجموعة القيم
Code Value Set,مجموعة قيم الرموز
Others,أخرى
Insurance,التأمين
Billing and Payments,الفوترة والمدفوعات
Admissions,الدخول
Surgery and Nursing,الجراحة والتمريض
Orders,الأوامر
Rehab and Physiotherapy,إعادة التأهيل والعلاج الطبيعي
Diagnostics,التشخيصات
Appointments and Encounters,المواعيد والزيارات
Address & Contact,العنوان والاتصال
Dashboard,لوحة المعلومات
Identification Number (UID),رقم التعريف (UID)
User ID,معرّف المستخدم
Invite as User,دعوة كمستخدم
Contact HTML,اتصال HTML
Address HTML,عنوان HTML
Address and Contact,العنوان وبيانات الاتصال
Print Language,لغة الطباعة
Default Price List,قائمة الأسعار الافتراضية
Territory,الإقليم
Customer Group,مجموعة العملاء
Customer Details,تفاصيل العميل
Middle Name (optional),الاسم الأوسط (اختياري)
First Name,الاسم الأول
Last Name,اسم العائلة
Billing Currency,عملة الفوترة
Additional information regarding the patient,معلومات إضافية حول المريض
Other Risk Factors,عوامل خطر أخرى
Occupational Hazards and Environmental Factors,المخاطر المهنية والعوامل البيئية
Alcohol Consumption (Present),استهلاك الكحول (حالياً)
Alcohol Consumption (Past),استهلاك الكحول (سابقاً)
Tobacco Consumption (Present),استهلاك التبغ (حالياً)
Tobacco Consumption (Past),استهلاك التبغ (سابقاً)
Risk Factors,عوامل الخطر
Widow,أرمل
Divorced,مطلق
Married,متزوج
Single,أعزب
Marital Status,الحالة الاجتماعية
Occupation,المهنة
Personal and Social History,التاريخ الشخصي والاجتماعي
Surgical History,التاريخ الجراحي
Medical History,التاريخ الطبي
Allergies,الحساسية
"""Allergies, Medical and Surgical History""",الحساسية والتاريخ الطبي والجراحي
Patient Relation,صلة المريض
Phone,الهاتف
Print,طباعة
Report Preference,تفضيل التقرير
"""If """"Link Customer to Patient"""" is checked in Healthcare Settings and an existing Customer is not selected then, a Customer will be created for this Patient for recording transactions in Accounts module.""","إذا تم تحديد ""ربط العميل بالمريض"" في إعدادات الرعاية الصحية ولم يتم اختيار عميل موجود، فسيتم إنشاء عميل لهذا المريض لتسجيل المعاملات في وحدة الحسابات."
Customer,العميل
Date of birth,تاريخ الميلاد
Full Name,الاسم الكامل
Discharge Scheduled,جدولة الخروج
Admitted,تم التنويم
Admission Scheduled,جدولة الدخول
Patient Demographics,البيانات الديموغرافية للمريض
Allow Blank,السماح بفراغ
Conversion Factor,عامل التحويل
Secondary UOM,وحدة قياس ثانوية
Normal Range,النطاق الطبيعي
UOM,وحدة القياس
Event,الحدث
Test Name,اسم الاختبار
Add New Line,إضافة سطر جديد
Add Test,إضافة اختبار
Lab Test Group Template,قالب مجموعة الاختبارات المخبرية
Appointments,المواعيد
Codification Table,جدول الترميز
Allow Booking For,السماح بالحجز لـ
Appointment Type Service Items,أصناف خدمة نوع الموعد
Color,اللون
Type,النوع
Appointment Type,نوع الموعد
Complaints,شكاوى
Complaint,شكوى
Eligibility Applicable for,الأهلية قابلة للتطبيق على
Healthcare Service Template,قالب خدمة الرعاية الصحية
Healthcare Service,خدمة الرعاية الصحية
"""Optional, set this only if you want to restrict this coverage to Patients subscribed to an Insurance Plan (Insurance Policy for the Patient should have the Coverage Plan selected).""",اختياري، اضبط هذا <i>فقط</i> إذا كنت تريد تقييد هذه التغطية على المرضى المشتركين في خطة تأمين (يجب أن تكون خطة التغطية محددة في وثيقة تأمين المريض).
Manual,يدوي
Automatic,تلقائي
Mode of Approval,طريقة الاعتماد
Valid From,صالح من
Code Value,قيمة الرمز
Service,خدمة
Eligibility For,الأهلية لـ
Discount Percentage,نسبة الخصم
Coverage Percentage,نسبة التغطية
Eligibility Details,تفاصيل الأهلية
Healthcare Service Insurance Coverage,تغطية التأمين لخدمة الرعاية الصحية
Item Insurance Eligibility,أهلية التأمين للصنف
Traceback,تتبّع الخطأ
URL,URL
Response,استجابة
Request,طلب
Denied,مرفوض
Revoked,ملغى
Granted,ممنوح
Request Date,تاريخ الطلب
Request Name,اسم الطلب
ABDM Request,طلب ABDM
Linked Items,أصناف مرتبطة
Is Combination,تركيبة
Combinations,تركيبات
"""Properties of the linked Item, you may further configure Batch Number and Expiry, Serial Number, Shelf Life etc. in the Item master""",خصائص الصنف المرتبط، يمكنك أيضًا ضبط رقم الدفعة وتاريخ الانتهاء والرقم التسلسلي ومدة الصلاحية وغيرها في سجل الصنف
Linked Item,صنف مرتبط
Abbr,اختصار
Reference URL,رابط مرجعي
Default Interval UOM,وحدة قياس الفاصل الافتراضي
Default Interval,الفاصل الافتراضي
Default Prescription Duration,مدة الوصفة الافتراضية
Default Prescription Dosage,جرعة الوصفة الافتراضية
Defaults,الافتراضيات
Medication Class,فئة الدواء
Generic Name,الاسم العلمي
National Drug Code,الرمز الوطني للدواء
Date Fieldname,اسم حقل التاريخ
Add / Edit Fields,إضافة / تعديل الحقول
Selected Fields,الحقول المحددة
Document Type,نوع المستند
Patient History Standard Document Type,نوع المستند القياسي لتاريخ المريض
Checklist,قائمة تحقق
Tasks,المهام
Department,القسم
Appointment,موعد
Sales Invoice Item,صنف فاتورة المبيعات
Disapproval Reason,سبب عدم الاعتماد
Has Component,يحتوي على مكوّن
Interpretation Template,قالب التفسير
Result Template,قالب النتيجة
Result Interpretation,تفسير النتيجة
Days,الأيام
Method,الطريقة
Sample Type,نوع العينة
Permitted Unit,الوحدة المسموح بها
Preferred Display Name,اسم العرض المفضل
Template Details,تفاصيل القالب
Observation idx,فهرس الملاحظة
Observation Method,طريقة الملاحظة
Sales Invoice Status,حالة فاتورة المبيعات
Specimen,العينة
More Information,مزيد من المعلومات
Time of Approval,وقت الاعتماد
Time of Result,وقت النتيجة
Result Period To,فترة النتيجة إلى
Result Period From,فترة النتيجة من
Therapy,علاج
Exam,فحص
Survey,استبيان
Procedure,الإجراء
Laboratory,المختبر
Imaging,التصوير
Vital Signs,العلامات الحيوية
Social History,التاريخ الاجتماعي
Observation Category,فئة الملاحظة
Sample Status,حالة العينة
Sample Collection Time,وقت جمع العينة
Allowed Options,الخيارات المسموح بها
Sales Invoice,فاتورة المبيعات
Sample Details,تفاصيل العينة
Attach Result,إرفاق النتيجة
Parent Observation,الملاحظة الأم
Reference Docname,اسم المستند المرجعي
Result,النتيجة
Attach,إرفاق
DateTime,تاريخ ووقت
Ratio,نسبة
Range,نطاق
Numeric,رقمي
Boolean,منطقي
Text,نص
Select,اختيار
Permitted Data Type,نوع البيانات المسموح
Naming,التسمية
Unknown,غير معروف
Corrected,مصَحَّح
Amended,معدّل
Final,نهائي
Preliminary,أولي
Registered,مسجل
Observation Template,قالب الملاحظة
Observation,ملاحظة
Dosage Strength,تركيز الجرعة
Dosage by Time Interval,الجرعة حسب الفاصل الزمني
Strength UOM,وحدة قياس التركيز
Strength,التركيز
Interval UOM,وحدة قياس الفاصل
Update Schedule,تحديث الجدول
Drug Name / Description,اسم الدواء / الوصف
Drug Code,رمز الدواء
Drug Prescription,وصفة الدواء
Task Duration,مدة المهمة
Task End Time,وقت انتهاء المهمة
Task Start Time,وقت بدء المهمة
Task Schedule,جدول المهمة
Duration,المدة
Requested End Time,وقت الانتهاء المطلوب
Requested Start Time,وقت البدء المطلوب
Notes,ملاحظات
Task Resolution,حل المهمة
Service Unit,وحدة الخدمة
Create and link the document to complete this task,قم بإنشاء المستند وربطه لإكمال هذه المهمة
Task Document Name,اسم مستند المهمة
Task Doctype,نوع مستند المهمة
Mandatory,إلزامي
Naming Series,سلسلة التسمية
Task Details,تفاصيل المهمة
Entered in Error,أُدخل بالخطأ
On Hold,معلّق
In Progress,قيد التنفيذ
Ready,جاهز
Accepted,تم القبول
Received,تم الاستلام
Requested,مطلوب
Reference Doctype,نوع المستند المرجعي
Activity,نشاط
Nursing Task,مهمة تمريض
Is Order Completed,هل اكتمل الأمر
Drug Name,اسم الدواء
Drug,دواء
Inpatient Medication Order Entry,إدخال أمر دواء لمنوّم
Transactions,المعاملات
Connections,الارتباطات
Policy Number,رقم الوثيقة
Date,التاريخ
Policy Expiry Date,تاريخ انتهاء الوثيقة
Insurance Plan,خطة التأمين
Country,الدولة
Insurance Details,تفاصيل التأمين
Mobile Number,رقم الجوال
Healthcare Insurance Policy,وثيقة تأمين الرعاية الصحية
Patient Insurance Policy,وثيقة تأمين المريض
Image,صورة
Exercise Type Step,خطوة نوع التمرين
Service Request Reason,سبب طلب الخدمة
Terms and Conditions,الشروط والأحكام
Clinical Note Type,نوع الملاحظة السريرية
Practitioner,الممارس
Reference Name,اسم المرجع
Reference Doc,المستند المرجعي
Reference,مرجع
Note,ملاحظة
Clinical Note,ملاحظة سريرية
Scheduled Billing Time,وقت الفوترة المجدول
Transferred For Procedure,تم النقل لإجراء
Check Out,تسجيل الخروج
Left,غادر
Check In,تسجيل الدخول
Inpatient Occupancy,إشغال التنويم
Nursing Checklist Template,قالب قائمة تحقق التمريض
Add Exercises,إضافة تمارين
Healthcare Service Unit,وحدة خدمات الرعاية الصحية
Therapy For,العلاج لـ
Item Name,اسم الصنف
Item Details,تفاصيل الصنف
Default Duration (In Minutes),المدة الافتراضية (بالدقائق)
Exercises,تمارين
Sessions Completed,الجلسات المكتملة
No of Sessions,عدد الجلسات
Therapy Type,نوع العلاج
Therapy Plan Detail,تفاصيل خطة العلاج
Medication Item,صنف الدواء
Practitioner Name,اسم الممارس
Request Details,تفاصيل الطلب
Total Dispensable Quantity,إجمالي الكمية القابلة للصرف
Number Of Repeats Allowed,عدد مرات التكرار المسموح بها
Medication,الدواء
The role responsible for performing the medication request,الدور المسؤول عن تنفيذ طلب الدواء
Order Group (Encounter),مجموعة الأوامر (الزيارة)
Medication Request,طلب دواء
Comment,تعليق
Ordered by Practitioner Name,مُصدر باسم الممارس
Interval,الفاصل
Practitioner Email,بريد الممارس الإلكتروني
Sample Collection Required,مطلوب جمع العينة
Source Doc,المستند المصدر
Invoiced,مفوتر
Partly Invoiced,مفوتر جزئياً
Billing Status,حالة الفوترة
Quantity Invoiced,الكمية المفوترة
Billing and Insurance,الفوترة والتأمين
Patient Age,عمر المريض
Order Template,قالب الأمر
Order Template Type,نوع قالب الأمر
Coverage Status,حالة التغطية
Service Details,تفاصيل الخدمة
Insurance Coverage,تغطية التأمين
Occurrence Time,وقت الحدوث
Occurrence Date,تاريخ الحدوث
Insurance Policy,وثيقة التأمين
Title,العنوان
Order Specifications,مواصفات الأمر
Patient Details,تفاصيل المريض
Birth Date,تاريخ الولادة
Mobile,الجوال
Email,البريد الإلكتروني
O Negative,O سالب
O Positive,O موجب
B Negative,B سالب
B Positive,B موجب
AB Negative,AB سالب
AB Positive,AB موجب
A Negative,A سالب
A Positive,A موجب
Blood Group,فصيلة الدم
Order Time,وقت الأمر
Order Group Type,نوع مجموعة الأوامر
Patient Instructions,تعليمات المريض
Inpatient Status,حالة المنوّم
Order Item Code,رمز صنف الأمر
Referred to Practitioner,مُحال إلى الممارس
Dosage,الجرعة
Dosage Form,شكل الجرعة
Age,العمر
Order Source,مصدر الأمر
Ordered by Practitioner,مُصدر من قبل الممارس
Referring Practitioner,الممارس المُحيل
External Referral,إحالة خارجية
Referral,إحالة
Direct,مباشر
Source,المصدر
Order Description,وصف الأمر
Reason Reference,مرجع السبب
Reason Reference DocType,نوع المستند المرجعي للسبب
Healthcare Service Unit Type,نوع وحدة خدمات الرعاية الصحية
"""Perform the service only if there is a need. For example """"pain"""", """"on flare-up"""", etc.""","نفّذ الخدمة فقط عند الحاجة. على سبيل المثال ""الألم""، ""عند تفاقم الحالة""، إلخ."
Occurrence As Needed,حسب الحاجة
Priority,الأولوية
Intent,النية
The role responsible for performing the service,الدور المسؤول عن تنفيذ الخدمة
Expected By,متوقع بحلول
Order Reference Name,اسم مرجع الأمر
Order Reference DocType,نوع المستند المرجعي للأمر
Order Group,مجموعة الأوامر
Order Group Reference,مرجع مجموعة الأوامر
Order Date,تاريخ الأمر
Sequence in Order Group,التسلسل في مجموعة الأوامر
Service Request,طلب خدمة
Comments,التعليقات
Time,الوقت
Score,الدرجة
Parameter,المعيار
Patient Assessment Sheet,نموذج تقييم المريض
Difficulty Level,مستوى الصعوبة
Exercise Difficulty Level,مستوى صعوبة التمرين
Coverage,التغطية
Policy,وثيقة
Eligibility,الأهلية
Name of Insurance Plan,اسم خطة التأمين
Overrides the Default Price List in Insurance Payor Contract,يتجاوز قائمة الأسعار الافتراضية في عقد جهة الدفع التأمينية
Price List,قائمة الأسعار
Is Active,نشط
Insurance Payor,جهة الدفع التأمينية
Insurance Payor Eligibility Plan,خطة أهلية جهة الدفع التأمينية
Month,شهر
Week,أسبوع
Day,يوم
Hour,ساعة
Period,الفترة
Number,الرقم
Prescription Duration,مدة الوصفة
Patient Appointment,موعد المريض
Sales Invoice Reference,مرجع فاتورة المبيعات
Reference Appointments,مواعيد مرجعية
Start Date,تاريخ البدء
Completed,مكتمل
Expired,منتهي الصلاحية
Active,نشط
Max number of visit,الحد الأقصى لعدد الزيارات
Validity,الصلاحية
Valid Till,صالح حتى
Visits Completed,الزيارات المكتملة
Fee Validity,صلاحية الرسوم
Admitted Datetime,تاريخ ووقت الدخول
Admission Schedule Date,تاريخ جدولة الدخول
Orders Html,أوامر HTML
Order Details,تفاصيل الأمر
Discharging Practitioner,ممارس الخروج
Healthcare Practitioner (Secondary),ممارس الرعاية الصحية (ثانوي)
Healthcare Practitioner (Primary),ممارس الرعاية الصحية (أساسي)
Healthcare Practitioner,ممارس الرعاية الصحية
Patient Encounter,زيارة المريض
About when and how to obtain urgent work care,حول متى وكيفية الحصول على رعاية عاجلة
Instructions,التعليمات
Current Issues,المشكلات الحالية
Diet Adviced,النظام الغذائي الموصى به
Advice on Discharge,إرشادات عند الخروج
Treatment Done,العلاج المُجرى
Physical Examination,الفحص السريري
Discharge Details,تفاصيل الخروج
Admission Order,أمر الدخول
Review Date,تاريخ المراجعة
Followup Date,تاريخ المتابعة
Amended From,معدّل من
Diagnosis,التشخيص
Chief Complaint,الشكوى الرئيسية
Encounter Impression,انطباع الزيارة
Inpatient Record,سجل المنوّم
Rejected,مرفوض
Cancelled,ملغي
Approved,معتمد
Draft,مسودة
Company,الشركة
Date of Birth,تاريخ الميلاد
Gender,الجنس
Patient Name,اسم المريض
Posting Date,تاريخ القيد
Series,السلسلة
Discharge Summary,ملخص الخروج
Service Request Defaults,الافتراضيات لطلب الخدمة
Staff Role,دور الموظف
Patient Care Type,نوع رعاية المريض
Stock Consumption,استهلاك المخزون
Billing,الفوترة
Link existing Item,ربط صنف موجود
Post-op Nursing Checklist Template,قالب قائمة تحقق التمريض بعد العملية
Pre-op Nursing Checklist Template,قالب قائمة تحقق التمريض قبل العملية
Medical Coding,الترميز الطبي
Medical Codes,الرموز الطبية
Item,الصنف
Change In Item,تغيير في الصنف
Collection Details,تفاصيل الجمع
Quantity,الكمية
Sample UOM,وحدة قياس العينة
Sample,عينة
Sample Collection,جمع العينات
Items,الأصناف
Consumables,مواد مستهلكة
Allow Stock Consumption,السماح باستهلاك المخزون
Rate,السعر
Is Billable,قابل للفوترة
Medical Department,القسم الطبي
Item Group,مجموعة الأصناف
Item Code,رمز الصنف
Template Name,اسم القالب
Procedure Template,قالب الإجراء
Clinical Procedure Template,قالب الإجراء السريري
Payment for Document,دفع للمستند
Payment for Doctype,دفع لنوع المستند
Currency,العملة
Amount with GST,المبلغ مع ضريبة GST
Amount,المبلغ
Patient,المريض
Failure Reason,سبب الفشل
Failed,فشل
Captured,تم التحصيل
Pending,قيد الانتظار
User,المستخدم
Signature,التوقيع
Order ID,معرّف الأمر
Payment ID,معرّف الدفع
Healthcare Payment Record,سجل دفع الرعاية الصحية
Standard Document Types,أنواع المستندات القياسية
Custom Document Types,أنواع مستندات مخصصة
Patient History Settings,إعدادات تاريخ المريض
Complete,مكتمل
Status,الحالة
Version,الإصدار
Immutable,غير قابل للتغيير
Custom,مخصص
Experimental,تجريبي
Is FHIR Defined,معرّف في FHIR
Disabled,معطل
Description,الوصف
OID,معرّف OID
URI,معرّف URI
Code System,نظام الترميز
Patient,مريض
